"index","op","name","z","type","value","probability"
2,"Boundary","base",,"posterior",-2903,0
2,"Boundary","base",,"posterior",-2898,0
2,"Boundary","base",,"posterior",-2893,0
2,"Boundary","base",,"posterior",-2888,0.0000016676
2,"Boundary","base",,"posterior",-2883,0
2,"Boundary","base",,"posterior",-2878,4.169e-7
2,"Boundary","base",,"posterior",-2873,0
2,"Boundary","base",,"posterior",-2868,0
2,"Boundary","base",,"posterior",-2863,0
2,"Boundary","base",,"posterior",-2858,0
2,"Boundary","base",,"posterior",-2853,0
2,"Boundary","base",,"posterior",-2848,0
2,"Boundary","base",,"posterior",-2843,4.169e-7
2,"Boundary","base",,"posterior",-2838,8.338e-7
2,"Boundary","base",,"posterior",-2833,0
2,"Boundary","base",,"posterior",-2828,0
2,"Boundary","base",,"posterior",-2823,4.169e-7
2,"Boundary","base",,"posterior",-2818,0
2,"Boundary","base",,"posterior",-2813,0
2,"Boundary","base",,"posterior",-2808,0
2,"Boundary","base",,"posterior",-2803,0
2,"Boundary","base",,"posterior",-2798,0
2,"Boundary","base",,"posterior",-2793,4.169e-7
2,"Boundary","base",,"posterior",-2788,0
2,"Boundary","base",,"posterior",-2783,0
2,"Boundary","base",,"posterior",-2778,0
2,"Boundary","base",,"posterior",-2773,0
2,"Boundary","base",,"posterior",-2768,0
2,"Boundary","base",,"posterior",-2763,4.169e-7
2,"Boundary","base",,"posterior",-2758,8.338e-7
2,"Boundary","base",,"posterior",-2753,0
2,"Boundary","base",,"posterior",-2748,0
2,"Boundary","base",,"posterior",-2743,8.338e-7
2,"Boundary","base",,"posterior",-2738,4.169e-7
2,"Boundary","base",,"posterior",-2733,4.169e-7
2,"Boundary","base",,"posterior",-2728,0
2,"Boundary","base",,"posterior",-2723,0
2,"Boundary","base",,"posterior",-2718,0
2,"Boundary","base",,"posterior",-2713,0
2,"Boundary","base",,"posterior",-2708,4.169e-7
2,"Boundary","base",,"posterior",-2703,0
2,"Boundary","base",,"posterior",-2698,0
2,"Boundary","base",,"posterior",-2693,4.169e-7
2,"Boundary","base",,"posterior",-2688,0
2,"Boundary","base",,"posterior",-2683,0
2,"Boundary","base",,"posterior",-2678,0
2,"Boundary","base",,"posterior",-2673,0
2,"Boundary","base",,"posterior",-2668,0
2,"Boundary","base",,"posterior",-2663,0
2,"Boundary","base",,"posterior",-2658,4.169e-7
2,"Boundary","base",,"posterior",-2653,8.338e-7
2,"Boundary","base",,"posterior",-2648,0
2,"Boundary","base",,"posterior",-2643,0
2,"Boundary","base",,"posterior",-2638,4.169e-7
2,"Boundary","base",,"posterior",-2633,0
2,"Boundary","base",,"posterior",-2628,0
2,"Boundary","base",,"posterior",-2623,8.338e-7
2,"Boundary","base",,"posterior",-2618,0
2,"Boundary","base",,"posterior",-2613,0
2,"Boundary","base",,"posterior",-2608,4.169e-7
2,"Boundary","base",,"posterior",-2603,4.169e-7
2,"Boundary","base",,"posterior",-2598,4.169e-7
2,"Boundary","base",,"posterior",-2593,0
2,"Boundary","base",,"posterior",-2588,4.169e-7
2,"Boundary","base",,"posterior",-2583,0
2,"Boundary","base",,"posterior",-2578,4.169e-7
2,"Boundary","base",,"posterior",-2573,4.169e-7
2,"Boundary","base",,"posterior",-2568,0.0000016676
2,"Boundary","base",,"posterior",-2563,0.0000012507
2,"Boundary","base",,"posterior",-2558,8.338e-7
2,"Boundary","base",,"posterior",-2553,4.169e-7
2,"Boundary","base",,"posterior",-2548,4.169e-7
2,"Boundary","base",,"posterior",-2543,0
2,"Boundary","base",,"posterior",-2538,0
2,"Boundary","base",,"posterior",-2533,8.338e-7
2,"Boundary","base",,"posterior",-2528,4.169e-7
2,"Boundary","base",,"posterior",-2523,0
2,"Boundary","base",,"posterior",-2518,0
2,"Boundary","base",,"posterior",-2513,4.169e-7
2,"Boundary","base",,"posterior",-2508,4.169e-7
2,"Boundary","base",,"posterior",-2503,4.169e-7
2,"Boundary","base",,"posterior",-2498,8.338e-7
2,"Boundary","base",,"posterior",-2493,8.338e-7
2,"Boundary","base",,"posterior",-2488,4.169e-7
2,"Boundary","base",,"posterior",-2483,4.169e-7
2,"Boundary","base",,"posterior",-2478,4.169e-7
2,"Boundary","base",,"posterior",-2473,0
2,"Boundary","base",,"posterior",-2468,0.0000016676
2,"Boundary","base",,"posterior",-2463,0
2,"Boundary","base",,"posterior",-2458,0
2,"Boundary","base",,"posterior",-2453,4.169e-7
2,"Boundary","base",,"posterior",-2448,4.169e-7
2,"Boundary","base",,"posterior",-2443,8.338e-7
2,"Boundary","base",,"posterior",-2438,0.0000012507
2,"Boundary","base",,"posterior",-2433,8.338e-7
2,"Boundary","base",,"posterior",-2428,0.0000012507
2,"Boundary","base",,"posterior",-2423,8.338e-7
2,"Boundary","base",,"posterior",-2418,0
2,"Boundary","base",,"posterior",-2413,0
2,"Boundary","base",,"posterior",-2408,0.0000012507
2,"Boundary","base",,"posterior",-2403,8.338e-7
2,"Boundary","base",,"posterior",-2398,4.169e-7
2,"Boundary","base",,"posterior",-2393,0.0000020845
2,"Boundary","base",,"posterior",-2388,0
2,"Boundary","base",,"posterior",-2383,0.0000012507
2,"Boundary","base",,"posterior",-2378,0.0000016676
2,"Boundary","base",,"posterior",-2373,8.338e-7
2,"Boundary","base",,"posterior",-2368,4.169e-7
2,"Boundary","base",,"posterior",-2363,0.0000016676
2,"Boundary","base",,"posterior",-2358,0.0000016676
2,"Boundary","base",,"posterior",-2353,0.0000012507
2,"Boundary","base",,"posterior",-2348,4.169e-7
2,"Boundary","base",,"posterior",-2343,8.338e-7
2,"Boundary","base",,"posterior",-2338,4.169e-7
2,"Boundary","base",,"posterior",-2333,0
2,"Boundary","base",,"posterior",-2328,0.0000020845
2,"Boundary","base",,"posterior",-2323,8.338e-7
2,"Boundary","base",,"posterior",-2318,0.0000020845
2,"Boundary","base",,"posterior",-2313,8.338e-7
2,"Boundary","base",,"posterior",-2308,0.0000025013
2,"Boundary","base",,"posterior",-2303,0.0000016676
2,"Boundary","base",,"posterior",-2298,0.0000012507
2,"Boundary","base",,"posterior",-2293,0.0000012507
2,"Boundary","base",,"posterior",-2288,0
2,"Boundary","base",,"posterior",-2283,0.0000012507
2,"Boundary","base",,"posterior",-2278,8.338e-7
2,"Boundary","base",,"posterior",-2273,0.0000020845
2,"Boundary","base",,"posterior",-2268,8.338e-7
2,"Boundary","base",,"posterior",-2263,0.0000016676
2,"Boundary","base",,"posterior",-2258,0.0000020845
2,"Boundary","base",,"posterior",-2253,0.0000020845
2,"Boundary","base",,"posterior",-2248,0.0000012507
2,"Boundary","base",,"posterior",-2243,0.0000012507
2,"Boundary","base",,"posterior",-2238,8.338e-7
2,"Boundary","base",,"posterior",-2233,0.0000029182
2,"Boundary","base",,"posterior",-2228,0.000003752
2,"Boundary","base",,"posterior",-2223,4.169e-7
2,"Boundary","base",,"posterior",-2218,4.169e-7
2,"Boundary","base",,"posterior",-2213,4.169e-7
2,"Boundary","base",,"posterior",-2208,0.0000029182
2,"Boundary","base",,"posterior",-2203,0.0000012507
2,"Boundary","base",,"posterior",-2198,0.0000012507
2,"Boundary","base",,"posterior",-2193,0.0000016676
2,"Boundary","base",,"posterior",-2188,0.0000025013
2,"Boundary","base",,"posterior",-2183,0.0000016676
2,"Boundary","base",,"posterior",-2178,0.000003335
2,"Boundary","base",,"posterior",-2173,0.0000016676
2,"Boundary","base",,"posterior",-2168,0.000004581
2,"Boundary","base",,"posterior",-2163,0.000003752
2,"Boundary","base",,"posterior",-2158,0.000004581
2,"Boundary","base",,"posterior",-2153,0.000003752
2,"Boundary","base",,"posterior",-2148,0.000003335
2,"Boundary","base",,"posterior",-2143,0.000004169
2,"Boundary","base",,"posterior",-2138,0.000004169
2,"Boundary","base",,"posterior",-2133,0.0000020845
2,"Boundary","base",,"posterior",-2128,0.0000016676
2,"Boundary","base",,"posterior",-2123,0.000006249
2,"Boundary","base",,"posterior",-2118,0.000004998
2,"Boundary","base",,"posterior",-2113,0.0000029182
2,"Boundary","base",,"posterior",-2108,0.000003752
2,"Boundary","base",,"posterior",-2103,0.0000029182
2,"Boundary","base",,"posterior",-2098,0.0000012507
2,"Boundary","base",,"posterior",-2093,0.000003335
2,"Boundary","base",,"posterior",-2088,0.000004169
2,"Boundary","base",,"posterior",-2083,0.000003752
2,"Boundary","base",,"posterior",-2078,0.000003335
2,"Boundary","base",,"posterior",-2073,0.000004998
2,"Boundary","base",,"posterior",-2068,0.000007082
2,"Boundary","base",,"posterior",-2063,0.000003335
2,"Boundary","base",,"posterior",-2058,0.000005832
2,"Boundary","base",,"posterior",-2053,0.0000029182
2,"Boundary","base",,"posterior",-2048,0.0000016676
2,"Boundary","base",,"posterior",-2043,0.000005415
2,"Boundary","base",,"posterior",-2038,0.000008333
2,"Boundary","base",,"posterior",-2033,0.000007082
2,"Boundary","base",,"posterior",-2028,0.0000012507
2,"Boundary","base",,"posterior",-2023,0.000004169
2,"Boundary","base",,"posterior",-2018,0.000004581
2,"Boundary","base",,"posterior",-2013,0.000004169
2,"Boundary","base",,"posterior",-2008,0.000005415
2,"Boundary","base",,"posterior",-2003,0.000009584
2,"Boundary","base",,"posterior",-1998,0.000010418
2,"Boundary","base",,"posterior",-1993,0.000009167
2,"Boundary","base",,"posterior",-1988,0.000014999
2,"Boundary","base",,"posterior",-1983,0.000005832
2,"Boundary","base",,"posterior",-1978,0.000007916
2,"Boundary","base",,"posterior",-1973,0.000004581
2,"Boundary","base",,"posterior",-1968,0.000007082
2,"Boundary","base",,"posterior",-1963,0.000006249
2,"Boundary","base",,"posterior",-1958,0.000010834
2,"Boundary","base",,"posterior",-1953,0.000010001
2,"Boundary","base",,"posterior",-1948,0.000009584
2,"Boundary","base",,"posterior",-1943,0.000007082
2,"Boundary","base",,"posterior",-1938,0.000005415
2,"Boundary","base",,"posterior",-1933,0.000007499
2,"Boundary","base",,"posterior",-1928,0.000007499
2,"Boundary","base",,"posterior",-1923,0.000011668
2,"Boundary","base",,"posterior",-1918,0.000007916
2,"Boundary","base",,"posterior",-1913,0.000014999
2,"Boundary","base",,"posterior",-1908,0.000017083
2,"Boundary","base",,"posterior",-1903,0.000012502
2,"Boundary","base",,"posterior",-1898,0.000017917
2,"Boundary","base",,"posterior",-1893,0.000011251
2,"Boundary","base",,"posterior",-1888,0.0000175
2,"Boundary","base",,"posterior",-1883,0.000018751
2,"Boundary","base",,"posterior",-1878,0.000015416
2,"Boundary","base",,"posterior",-1873,0.000014999
2,"Boundary","base",,"posterior",-1868,0.000011251
2,"Boundary","base",,"posterior",-1863,0.000011668
2,"Boundary","base",,"posterior",-1858,0.000012919
2,"Boundary","base",,"posterior",-1853,0.000011251
2,"Boundary","base",,"posterior",-1848,0.000015416
2,"Boundary","base",,"posterior",-1843,0.000011251
2,"Boundary","base",,"posterior",-1838,0.000014582
2,"Boundary","base",,"posterior",-1833,0.000012502
2,"Boundary","base",,"posterior",-1828,0.000018334
2,"Boundary","base",,"posterior",-1823,0.000022498
2,"Boundary","base",,"posterior",-1818,0.000019168
2,"Boundary","base",,"posterior",-1813,0.000014582
2,"Boundary","base",,"posterior",-1808,0.000020418
2,"Boundary","base",,"posterior",-1803,0.000020418
2,"Boundary","base",,"posterior",-1798,0.0000175
2,"Boundary","base",,"posterior",-1793,0.000020835
2,"Boundary","base",,"posterior",-1788,0.000015832
2,"Boundary","base",,"posterior",-1783,0.000026667
2,"Boundary","base",,"posterior",-1778,0.000025833
2,"Boundary","base",,"posterior",-1773,0.000021669
2,"Boundary","base",,"posterior",-1768,0.000022498
2,"Boundary","base",,"posterior",-1763,0.000022915
2,"Boundary","base",,"posterior",-1758,0.000018751
2,"Boundary","base",,"posterior",-1753,0.000020835
2,"Boundary","base",,"posterior",-1748,0.000024583
2,"Boundary","base",,"posterior",-1743,0.000019168
2,"Boundary","base",,"posterior",-1738,0.000031248
2,"Boundary","base",,"posterior",-1733,0.00003292
2,"Boundary","base",,"posterior",-1728,0.00003208
2,"Boundary","base",,"posterior",-1723,0.000031248
2,"Boundary","base",,"posterior",-1718,0.00003708
2,"Boundary","base",,"posterior",-1713,0.00003917
2,"Boundary","base",,"posterior",-1708,0.000030831
2,"Boundary","base",,"posterior",-1703,0.000035
2,"Boundary","base",,"posterior",-1698,0.000022498
2,"Boundary","base",,"posterior",-1693,0.00003917
2,"Boundary","base",,"posterior",-1688,0.00004917
2,"Boundary","base",,"posterior",-1683,0.00004417
2,"Boundary","base",,"posterior",-1678,0.00003917
2,"Boundary","base",,"posterior",-1673,0.00004083
2,"Boundary","base",,"posterior",-1668,0.00003875
2,"Boundary","base",,"posterior",-1663,0.00005083
2,"Boundary","base",,"posterior",-1658,0.00004125
2,"Boundary","base",,"posterior",-1653,0.00005584
2,"Boundary","base",,"posterior",-1648,0.00007542
2,"Boundary","base",,"posterior",-1643,0.00004375
2,"Boundary","base",,"posterior",-1638,0.00003917
2,"Boundary","base",,"posterior",-1633,0.00004042
2,"Boundary","base",,"posterior",-1628,0.00006042
2,"Boundary","base",,"posterior",-1623,0.00006375
2,"Boundary","base",,"posterior",-1618,0.00005708
2,"Boundary","base",,"posterior",-1613,0.00006
2,"Boundary","base",,"posterior",-1608,0.0000725
2,"Boundary","base",,"posterior",-1603,0.00006667
2,"Boundary","base",,"posterior",-1598,0.00005708
2,"Boundary","base",,"posterior",-1593,0.00006292
2,"Boundary","base",,"posterior",-1588,0.00006459
2,"Boundary","base",,"posterior",-1583,0.0000725
2,"Boundary","base",,"posterior",-1578,0.00008667
2,"Boundary","base",,"posterior",-1573,0.0000725
2,"Boundary","base",,"posterior",-1568,0.00007042
2,"Boundary","base",,"posterior",-1563,0.00008083
2,"Boundary","base",,"posterior",-1558,0.00007292
2,"Boundary","base",,"posterior",-1553,0.00009792
