"index","op","name","z","type","value","probability"
2,"Boundary","Base",,"posterior",-6534.5,0
2,"Boundary","Base",,"posterior",-6529.5,0
2,"Boundary","Base",,"posterior",-6524.5,1.0262e-7
2,"Boundary","Base",,"posterior",-6519.5,1.0262e-7
2,"Boundary","Base",,"posterior",-6514.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6509.5,0
2,"Boundary","Base",,"posterior",-6504.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6499.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6494.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6489.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6484.5,1.0262e-7
2,"Boundary","Base",,"posterior",-6479.5,0
2,"Boundary","Base",,"posterior",-6474.5,4.148e-7
2,"Boundary","Base",,"posterior",-6469.5,5.217e-7
2,"Boundary","Base",,"posterior",-6464.5,0
2,"Boundary","Base",,"posterior",-6459.5,0
2,"Boundary","Base",,"posterior",-6454.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6449.5,0
2,"Boundary","Base",,"posterior",-6444.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6439.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6434.5,1.0262e-7
2,"Boundary","Base",,"posterior",-6429.5,1.0262e-7
2,"Boundary","Base",,"posterior",-6424.5,1.0262e-7
2,"Boundary","Base",,"posterior",-6419.5,1.0262e-7
2,"Boundary","Base",,"posterior",-6414.5,1.0262e-7
2,"Boundary","Base",,"posterior",-6409.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6404.5,3.1214e-7
2,"Boundary","Base",,"posterior",-6399.5,4.148e-7
2,"Boundary","Base",,"posterior",-6394.5,0
2,"Boundary","Base",,"posterior",-6389.5,3.1214e-7
2,"Boundary","Base",,"posterior",-6384.5,6.243e-7
2,"Boundary","Base",,"posterior",-6379.5,3.1214e-7
2,"Boundary","Base",,"posterior",-6374.5,1.0262e-7
2,"Boundary","Base",,"posterior",-6369.5,1.0262e-7
2,"Boundary","Base",,"posterior",-6364.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6359.5,3.1214e-7
2,"Boundary","Base",,"posterior",-6354.5,0
2,"Boundary","Base",,"posterior",-6349.5,5.217e-7
2,"Boundary","Base",,"posterior",-6344.5,3.1214e-7
2,"Boundary","Base",,"posterior",-6339.5,4.148e-7
2,"Boundary","Base",,"posterior",-6334.5,5.217e-7
2,"Boundary","Base",,"posterior",-6329.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6324.5,5.217e-7
2,"Boundary","Base",,"posterior",-6319.5,5.217e-7
2,"Boundary","Base",,"posterior",-6314.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6309.5,0.0000012486
2,"Boundary","Base",,"posterior",-6304.5,1.0262e-7
2,"Boundary","Base",,"posterior",-6299.5,4.148e-7
2,"Boundary","Base",,"posterior",-6294.5,3.1214e-7
2,"Boundary","Base",,"posterior",-6289.5,3.1214e-7
2,"Boundary","Base",,"posterior",-6284.5,2.0952e-7
2,"Boundary","Base",,"posterior",-6279.5,3.1214e-7
2,"Boundary","Base",,"posterior",-6274.5,3.1214e-7
2,"Boundary","Base",,"posterior",-6269.5,0.0000010433
2,"Boundary","Base",,"posterior",-6264.5,4.148e-7
2,"Boundary","Base",,"posterior",-6259.5,5.217e-7
2,"Boundary","Base",,"posterior",-6254.5,5.217e-7
2,"Boundary","Base",,"posterior",-6249.5,3.1214e-7
2,"Boundary","Base",,"posterior",-6244.5,6.243e-7
2,"Boundary","Base",,"posterior",-6239.5,8.338e-7
2,"Boundary","Base",,"posterior",-6234.5,7.312e-7
2,"Boundary","Base",,"posterior",-6229.5,6.243e-7
2,"Boundary","Base",,"posterior",-6224.5,5.217e-7
2,"Boundary","Base",,"posterior",-6219.5,9.364e-7
2,"Boundary","Base",,"posterior",-6214.5,3.1214e-7
2,"Boundary","Base",,"posterior",-6209.5,5.217e-7
2,"Boundary","Base",,"posterior",-6204.5,7.312e-7
2,"Boundary","Base",,"posterior",-6199.5,7.312e-7
2,"Boundary","Base",,"posterior",-6194.5,9.364e-7
2,"Boundary","Base",,"posterior",-6189.5,5.217e-7
2,"Boundary","Base",,"posterior",-6184.5,6.243e-7
2,"Boundary","Base",,"posterior",-6179.5,9.364e-7
2,"Boundary","Base",,"posterior",-6174.5,6.243e-7
2,"Boundary","Base",,"posterior",-6169.5,6.243e-7
2,"Boundary","Base",,"posterior",-6164.5,9.364e-7
2,"Boundary","Base",,"posterior",-6159.5,9.364e-7
2,"Boundary","Base",,"posterior",-6154.5,5.217e-7
2,"Boundary","Base",,"posterior",-6149.5,0.0000013555
2,"Boundary","Base",,"posterior",-6144.5,0.0000010433
2,"Boundary","Base",,"posterior",-6139.5,9.364e-7
2,"Boundary","Base",,"posterior",-6134.5,0.0000017702
2,"Boundary","Base",,"posterior",-6129.5,0.0000013555
2,"Boundary","Base",,"posterior",-6124.5,0.0000012486
2,"Boundary","Base",,"posterior",-6119.5,0.0000014581
2,"Boundary","Base",,"posterior",-6114.5,0.0000011459
2,"Boundary","Base",,"posterior",-6109.5,0.0000019797
2,"Boundary","Base",,"posterior",-6104.5,0.0000018771
2,"Boundary","Base",,"posterior",-6099.5,0.0000021893
2,"Boundary","Base",,"posterior",-6094.5,0.0000015607
2,"Boundary","Base",,"posterior",-6089.5,9.364e-7
2,"Boundary","Base",,"posterior",-6084.5,0.0000011459
2,"Boundary","Base",,"posterior",-6079.5,0.0000012486
