Name,Tectonic_region,Faulting_style,Method,Longitude,Latitude,Location_accuracy
AlaskaPWSCopper,Subduction,Reverse,Unknown,-145.6,59.3,Approximate
AlpineHokuriCk,Plate_boundary_master,Strike_slip,Trench,168.288,-44.33,Approximate
AlpineHokuriCkSouthWestland,Plate_boundary_master,Strike_slip,Trench,168.288,-44.33,Approximate
AlpineSouthWestland,Plate_boundary_master,Strike_slip,Core,167.866,-44.515,Approximate
AwatereEast,Plate_boundary_network,Strike_slip,Trench,174.1228,-41.592,Approximate
Bree,Intraplate_noncratonic,Normal,Trench,5.62,51.12,Approximate
Cadell,Intraplate_noncratonic,Reverse,Geomorphology,144.898,-35.955,Approximate
Cascadia,Subduction,Reverse,Turbidite,-125.8,45.0,Approximate
CascadiaNth,Subduction,Reverse,Turbidite,-127.53,48.93,Approximate
CascadiaSth,Subduction,Reverse,Turbidite,-125.3,42.5,Approximate
ChangmaEbo,Active_intraplate,Strike_slip,NULL,NULL,NULL,NULL
ChileMargin,Subduction,Reverse,Turbidite,-74.0,-40.0,Approximate
CloudyFault,Plate_boundary_network,Strike_slip,Trench,174.3077,-41.4683,Approximate
DaqingshanPiedmontHohhot,Active_intraplate,Normal,Trench,111.6,40.8,Approximate
DaqingshanPiedmontTuyouqi,Active_intraplate,Normal,NULL,NULL,NULL,NULL
DeadSeaBeteiha,Plate_boundary_master,Strike_slip,Trench,35.6,32.9,Approximate
DeadSeaJordan,Plate_boundary_master,Strike_slip,Trench,35.5,32.2,Approximate
DeadSeaQatar,Plate_boundary_master,Strike_slip,Trench,35.05,29.8,Approximate
DeadSeaTaybeh,Plate_boundary_master,Strike_slip,Trench,35.25,30.4,Approximate
DeadSeaYammouneh,Plate_boundary_master,Strike_slip,Trench,36.02,34.11,Approximate
Dunstan,Near_plate_boundary,Reverse,Trench,169.592,-45.0,Approximate
EastKunlunKusaihu,Active_intraplate,Strike_slip,Trench,93,35.8,Approximate
EastKunlunXidatan,Active_intraplate,Strike_slip,Trench,95,35.5,Approximate
Elashan,Active_intraplate,Strike_slip,Trench,98.9,36.7,Approximate
ElsinoreTemecula,Plate_boundary_network,Strike_slip,Trench,-117.1381,33.4984,Approximate
FatigueWash,Near_plate_boundary,Normal,Trench,-116.5,36.8,Approximate
Futugawa,Near_plate_boundary,Strike_slip,Trench,130.85908,32.804516,Good
GarlockElPasoPeaks,Near_plate_boundary,Strike_slip,Trench,-117.6791,35.4451,Approximate
GarlockTwinLakes,Near_plate_boundary,Strike_slip,Trench,-118.65,34.93,Approximate
GulangTianqiaogou,Active_intraplate,Strike_slip,Trench,102.5,37.4,Approximate
HaiyuanMiddle,Active_intraplate,Strike_slip,Trench,104.9,36.7,Approximate
HaywardTysons,Plate_boundary_network,Strike_slip,Trench,-121.95,37.57,Approximate
HelanshanEasternPiedmont,Active_intraplate,Normal,Trench,106.2,38.9,Approximate
Hope,Plate_boundary_network,Strike_slip,Trench,172.295,-42.619,Approximate
HopeConway,Plate_boundary_network,Strike_slip,Trench,173.2,-42.4584,Approximate
HuaiZhaoBasinSouth,Active_intraplate,Normal,NULL,NULL,NULL,NULL
HuashanPiedmont,Active_intraplate,Normal,NULL,NULL,NULL,NULL
Hyden,Intraplate_cratonic,Reverse,Trench,119.2747,-32.2386,Approximate
Irpinia,Near_plate_boundary,Normal,Trench,15.35,40.75,Approximate
JavonCanyon,Near_plate_boundary,Reverse,Unknown,-120.384,34.355,Approximate
Kiri,Near_plate_boundary,Normal,Trench,173.9,-39.4672,Approximate
Lachlan,Near_plate_boundary,Reverse,Unknown,177.755,-39.555,Approximate
LakeEdgar,Intraplate_noncratonic,Reverse,Geomorphology,146.3415,-42.933,Approximate
LangshanPiedmontXibulongEast,Active_intraplate,Strike_slip,Trench,107.1,41.1,Approximate
Lenglongling,Active_intraplate,Strike_slip,Trench,102.06,37.45,Approximate
Lingwu,Active_intraplate,Normal,NULL,NULL,NULL,NULL
LomaBlanca,Intraplate_noncratonic,Normal,Veins,-106.95,34.25,Approximate
Mangatete,Near_plate_boundary,Normal,Trench,176.1931,-38.3479,Approximate
